File Start Date,File End Date,File Start Time,File End Time,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Route,Different Start-End Hour,Hectometer per Minute,start_datetime_full,end_datetime_full,time_difference,time_difference_seconds,time_difference_minutes,start_time,end_time
2023-05-05,2023-05-05,1900-01-01 16:38:27,1900-01-01 16:40:04,"1,617",180.6,183.3,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,1.6701030927835157,2000-01-01 16:38:27,2000-01-01 16:40:04,0 days 00:01:37,97.0,1.6166666666666667,16:38:27,16:40:04
2023-05-08,2023-05-08,1900-01-01 07:45:26,1900-01-01 07:59:00,"13,567",163.5,167.1,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.26535626535626494,2000-01-01 07:45:26,2000-01-01 07:59:00,0 days 00:13:34,814.0,13.566666666666666,07:45:26,07:59:00
2023-05-08,2023-05-08,1900-01-01 07:59:26,1900-01-01 07:59:59,"6,583",164.3,164.4921518987342,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.34936708860759236,2000-01-01 07:59:26,2000-01-01 07:59:59,0 days 00:00:33,33.0,0.55,07:59:26,07:59:59
2023-05-08,2023-05-08,1900-01-01 08:00:00,1900-01-01 08:06:01,"6,583",164.4921518987342,166.59417721518986,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.34936708860759236,2000-01-01 08:00:00,2000-01-01 08:06:01,0 days 00:06:01,361.0,6.016666666666667,08:00:00,08:06:01
2023-05-05,2023-05-05,1900-01-01 11:27:27,1900-01-01 11:37:00,"9,550",163.9,167.3,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.3560209424083775,2000-01-01 11:27:27,2000-01-01 11:37:00,0 days 00:09:33,573.0,9.55,11:27:27,11:37:00
2023-05-05,2023-05-05,1900-01-01 12:51:27,1900-01-01 12:59:59,"57,550",175.6,175.91138140747177,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.03649000868809721,2000-01-01 12:51:27,2000-01-01 12:59:59,0 days 00:08:32,512.0,8.533333333333333,12:51:27,12:59:59
2023-05-05,2023-05-05,1900-01-01 13:00:00,1900-01-01 13:49:00,"57,550",175.91138140747177,177.69939183318854,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.03649000868809721,2000-01-01 13:00:00,2000-01-01 13:49:00,0 days 00:49:00,2940.0,49.0,13:00:00,13:49:00
2023-05-05,2023-05-05,1900-01-01 15:54:27,1900-01-01 15:57:00,"2,550",178.8,181.2,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.9411764705882264,2000-01-01 15:54:27,2000-01-01 15:57:00,0 days 00:02:33,153.0,2.55,15:54:27,15:57:00
2023-05-05,2023-05-05,1900-01-01 16:41:27,1900-01-01 16:43:00,"1,550",172.2,176.6,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,2.8387096774193585,2000-01-01 16:41:27,2000-01-01 16:43:00,0 days 00:01:33,93.0,1.55,16:41:27,16:43:00
2023-05-05,2023-05-05,1900-01-01 17:03:28,1900-01-01 17:34:00,"30,533",180.8,183.2,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.0786026200873355,2000-01-01 17:03:28,2000-01-01 17:34:00,0 days 00:30:32,1832.0,30.533333333333335,17:03:28,17:34:00
2023-05-08,2023-05-08,1900-01-01 07:29:26,1900-01-01 07:34:00,"4,567",164.0,166.2,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.4817518248175158,2000-01-01 07:29:26,2000-01-01 07:34:00,0 days 00:04:34,274.0,4.566666666666666,07:29:26,07:34:00
2023-05-08,2023-05-08,1900-01-01 08:31:27,1900-01-01 08:58:00,"26,550",163.9,166.0,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.0790960451977399,2000-01-01 08:31:27,2000-01-01 08:58:00,0 days 00:26:33,1593.0,26.55,08:31:27,08:58:00
2023-05-05,2023-05-05,1900-01-01 12:17:27,1900-01-01 12:24:00,"6,550",179.6,182.6,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.4580152671755725,2000-01-01 12:17:27,2000-01-01 12:24:00,0 days 00:06:33,393.0,6.55,12:17:27,12:24:00
2023-05-06,2023-05-06,1900-01-01 11:38:26,1900-01-01 11:59:59,"21,567",164.4,166.7981452859351,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.1112828438948998,2000-01-01 11:38:26,2000-01-01 11:59:59,0 days 00:21:33,1293.0,21.55,11:38:26,11:59:59
2023-05-08,2023-05-08,1900-01-01 07:33:25,1900-01-01 07:59:59,"33,583",178.2,181.68069478908188,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.1310173697270473,2000-01-01 07:33:25,2000-01-01 07:59:59,0 days 00:26:34,1594.0,26.566666666666666,07:33:25,07:59:59
2023-05-08,2023-05-08,1900-01-01 08:00:00,1900-01-01 08:07:00,"33,583",181.68069478908188,182.59781637717123,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.1310173697270473,2000-01-01 08:00:00,2000-01-01 08:07:00,0 days 00:07:00,420.0,7.0,08:00:00,08:07:00
2023-05-08,2023-05-08,1900-01-01 07:41:26,1900-01-01 07:44:00,"2,567",164.4,166.6,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.8571428571428527,2000-01-01 07:41:26,2000-01-01 07:44:00,0 days 00:02:34,154.0,2.566666666666667,07:41:26,07:44:00
2023-05-05,2023-05-05,1900-01-01 12:33:27,1900-01-01 12:44:00,"10,550",173.5,175.9,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.2274881516587683,2000-01-01 12:33:27,2000-01-01 12:44:00,0 days 00:10:33,633.0,10.55,12:33:27,12:44:00
2023-05-05,2023-05-05,1900-01-01 13:21:27,1900-01-01 13:23:00,"1,550",179.6,182.4,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,1.806451612903233,2000-01-01 13:21:27,2000-01-01 13:23:00,0 days 00:01:33,93.0,1.55,13:21:27,13:23:00
2023-05-05,2023-05-05,1900-01-01 13:32:28,1900-01-01 13:59:59,"65,533",179.3,180.6016531027467,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.047304170905391574,2000-01-01 13:32:28,2000-01-01 13:59:59,0 days 00:27:31,1651.0,27.516666666666666,13:32:28,13:59:59
2023-05-05,2023-05-05,1900-01-01 14:00:00,1900-01-01 14:38:00,"65,533",180.6016531027467,182.39921159715158,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.047304170905391574,2000-01-01 14:00:00,2000-01-01 14:38:00,0 days 00:38:00,2280.0,38.0,14:00:00,14:38:00
