NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Cause Ground Detail,Route
3347448,2023-01-12,2023-01-12,07:54:30,08:44:16,224497.0,4511000.0,"49,767",136.8,134.6,A,50,A50,ascending,Oss,Arnhem,Accident(s),E-A
3348657,2023-01-12,2023-01-12,16:35:31,16:38:00,5745.0,2313000.0,"2,483",112.7,110.3,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3346466,2023-01-11,2023-01-11,16:45:32,17:19:00,110052.0,3288000.0,"33,467",117.8,113.8,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3347822,2023-01-12,2023-01-12,08:40:31,09:16:03,147383.0,4148000.0,"35,533",139.9,137.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3347942,2023-01-12,2023-01-12,08:57:31,09:03:00,14012.0,2555000.0,"5,483",112.9,110.7,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3348739,2023-01-12,2023-01-12,16:45:32,16:48:00,5957.0,2415000.0,"2,467",140.0,137.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3348741,2023-01-12,2023-01-12,16:46:32,16:49:00,6812.0,2761000.0,"2,467",110.5,108.0,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3349135,2023-01-12,2023-01-12,17:32:32,17:34:00,2933.0,2000000.0,"1,467",140.3,138.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3349451,2023-01-12,2023-01-12,18:33:30,19:01:02,87270.0,3170000.0,"27,533",136.9,135.1,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3351008,2023-01-16,2023-01-16,07:46:28,07:51:01,11463.0,2519000.0,"4,550",154.7,152.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3349325,2023-01-12,2023-01-12,17:55:31,18:04:00,20490.0,2415000.0,"8,483",139.7,137.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3350803,2023-01-16,2023-01-16,07:18:27,07:36:02,46433.0,2641000.0,"17,583",137.0,134.7,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3351320,2023-01-16,2023-01-16,08:15:30,08:17:01,4095.0,2700000.0,"1,517",140.3,137.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3347681,2023-01-12,2023-01-12,08:21:31,08:27:00,14070.0,2566000.0,"5,483",154.5,151.9,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3347960,2023-01-12,2023-01-12,09:01:31,09:03:00,2967.0,2000000.0,"1,483",134.6,132.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3348029,2023-01-12,2023-01-12,09:16:30,09:24:00,17052.0,2274000.0,"7,500",140.1,137.9,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3348490,2023-01-12,2023-01-12,16:06:31,16:33:00,79503.0,3002000.0,"26,483",116.8,114.7,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3348757,2023-01-12,2023-01-12,16:48:32,17:02:00,39665.0,2945000.0,"13,467",139.7,137.7,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3348913,2023-01-12,2023-01-12,17:08:32,17:10:03,3185.0,2100000.0,"1,517",139.3,137.2,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3350967,2023-01-16,2023-01-16,07:42:28,09:04:00,549330.0,6737000.0,"81,533",159.7,157.5,A,50,A50,ascending,Oss,Arnhem,Accident (in a rush hour traffic jam),E-A
3351064,2023-01-16,2023-01-16,07:51:28,08:05:04,37903.0,2787000.0,"13,600",135.9,132.8,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3346930,2023-01-11,2023-01-11,18:06:31,18:08:00,3412.0,2300000.0,"1,483",138.1,135.8,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3347274,2023-01-12,2023-01-12,07:33:28,07:35:04,3360.0,2100000.0,"1,600",154.4,152.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3348674,2023-01-12,2023-01-12,16:37:32,16:39:00,3960.0,2700000.0,"1,467",107.1,104.4,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3348865,2023-01-12,2023-01-12,17:02:32,17:04:00,3813.0,2600000.0,"1,467",139.9,137.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3350974,2023-01-16,2023-01-16,07:43:28,08:27:00,169615.0,3896000.0,"43,533",139.5,137.2,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3346654,2023-01-11,2023-01-11,17:14:32,17:32:00,50170.0,2872000.0,"17,467",115.7,113.4,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3346938,2023-01-11,2023-01-11,18:11:31,18:13:00,4450.0,3000000.0,"1,483",134.8,131.8,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3347974,2023-01-12,2023-01-12,09:04:31,09:18:00,39285.0,2914000.0,"13,483",112.9,109.5,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3348682,2023-01-12,2023-01-12,16:38:32,17:35:04,155462.0,2750000.0,"56,533",117.0,114.5,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3348998,2023-01-12,2023-01-12,17:17:32,17:30:04,39280.0,3134000.0,"12,533",135.7,131.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3351118,2023-01-16,2023-01-16,07:55:29,08:04:01,19725.0,2312000.0,"8,533",95.9,93.8,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3351216,2023-01-16,2023-01-16,08:04:29,08:06:04,3642.0,2300000.0,"1,583",96.2,93.9,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3351267,2023-01-16,2023-01-16,08:09:30,08:12:02,7853.0,3100000.0,"2,533",139.5,136.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3351701,2023-01-16,2023-01-16,08:54:30,09:16:04,82668.0,3833000.0,"21,567",154.7,152.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3352264,2023-01-16,2023-01-16,16:27:31,16:30:05,5482.0,2136000.0,"2,567",115.4,113.3,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3346758,2023-01-11,2023-01-11,17:28:32,17:33:00,10383.0,2325000.0,"4,467",140.3,138.1,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3348929,2023-01-12,2023-01-12,17:10:32,17:18:00,24365.0,3263000.0,"7,467",113.5,110.4,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3349164,2023-01-12,2023-01-12,17:35:31,17:40:04,13277.0,2918000.0,"4,550",140.3,137.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3351350,2023-01-16,2023-01-16,08:17:29,08:47:01,146252.0,4952000.0,"29,533",140.3,137.1,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3351556,2023-01-16,2023-01-16,08:37:30,08:39:01,2730.0,1800000.0,"1,517",134.8,133.0,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3351640,2023-01-16,2023-01-16,08:46:29,08:48:01,3067.0,2000000.0,"1,533",160.1,158.1,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3352274,2023-01-16,2023-01-16,16:29:31,16:31:00,3263.0,2200000.0,"1,483",110.5,108.3,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3352495,2023-01-16,2023-01-16,17:09:31,19:01:40,524455.0,4676000.0,"112,150",118.4,112.6,A,50,A50,ascending,Eindhoven,Oss,Accident (in a rush hour traffic jam),E-A
3351087,2023-01-16,2023-01-16,07:53:29,08:01:03,17922.0,2369000.0,"7,567",152.5,150.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3351786,2023-01-16,2023-01-16,09:06:29,09:08:00,3033.0,2000000.0,"1,517",140.0,138.0,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3351849,2023-01-16,2023-01-16,09:20:29,09:24:00,8472.0,2409000.0,"3,517",154.5,151.9,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3352333,2023-01-16,2023-01-16,16:41:32,16:53:00,39497.0,3444000.0,"11,467",106.5,104.4,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3352442,2023-01-16,2023-01-16,17:01:32,17:03:00,2933.0,2000000.0,"1,467",140.3,138.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3352704,2023-01-16,2023-01-16,17:34:32,17:45:04,32067.0,3044000.0,"10,533",137.3,135.1,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3346771,2023-01-11,2023-01-11,17:30:32,17:32:00,2933.0,2000000.0,"1,467",120.2,118.2,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3347198,2023-01-12,2023-01-12,07:21:27,07:50:01,102618.0,3592000.0,"28,567",138.1,136.0,A,50,A50,ascending,Oss,Arnhem,Accident(s),E-A
3351229,2023-01-16,2023-01-16,08:05:29,08:52:01,119598.0,2570000.0,"46,533",152.5,150.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3352395,2023-01-16,2023-01-16,16:53:32,16:56:03,7802.0,3100000.0,"2,517",101.9,98.8,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3352662,2023-01-16,2023-01-16,17:30:32,17:33:00,5517.0,2236000.0,"2,467",139.0,136.7,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3352794,2023-01-16,2023-01-16,17:46:31,17:48:00,2967.0,2000000.0,"1,483",106.3,104.3,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3352399,2023-01-16,2023-01-16,16:54:32,17:08:00,29213.0,2169000.0,"13,467",136.8,134.8,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3352760,2023-01-16,2023-01-16,17:41:32,17:43:00,4253.0,2900000.0,"1,467",107.7,104.8,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3346428,2023-01-11,2023-01-11,16:39:32,16:54:00,43602.0,3014000.0,"14,467",137.4,135.0,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3346686,2023-01-11,2023-01-11,17:18:32,17:20:04,3373.0,2200000.0,"1,533",135.2,133.0,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3349031,2023-01-12,2023-01-12,17:22:32,17:41:03,75017.0,4051000.0,"18,517",113.5,109.5,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3352235,2023-01-16,2023-01-16,16:17:30,16:19:00,3450.0,2300000.0,"1,500",113.3,111.0,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3346692,2023-01-11,2023-01-11,17:19:33,17:21:03,3150.0,2100000.0,"1,500",106.6,104.5,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3349376,2023-01-12,2023-01-12,18:05:31,18:07:00,3263.0,2200000.0,"1,483",138.2,136.0,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3352241,2023-01-16,2023-01-16,16:20:31,16:31:00,25100.0,2394000.0,"10,483",136.2,134.0,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3346789,2023-01-11,2023-01-11,17:32:33,17:54:00,85915.0,4005000.0,"21,450",118.7,115.7,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3351670,2023-01-16,2023-01-16,08:50:29,08:55:06,10290.0,2229000.0,"4,617",159.6,157.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3352246,2023-01-16,2023-01-16,16:22:31,16:30:06,17510.0,2309000.0,"7,583",101.5,99.3,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3352303,2023-01-16,2023-01-16,16:35:31,16:39:00,7447.0,2138000.0,"3,483",113.4,111.4,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3352356,2023-01-16,2023-01-16,16:46:31,16:50:03,7703.0,2180000.0,"3,533",110.7,108.6,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3352475,2023-01-16,2023-01-16,17:06:31,17:09:00,7518.0,3028000.0,"2,483",119.0,115.9,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3352734,2023-01-16,2023-01-16,17:38:32,17:40:04,3067.0,2000000.0,"1,533",139.7,137.7,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3353218,2023-01-17,2023-01-17,07:22:28,08:04:01,202302.0,4869000.0,"41,550",138.5,135.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3346613,2023-01-11,2023-01-11,17:07:32,17:18:01,31833.0,3037000.0,"10,483",139.5,137.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3346703,2023-01-11,2023-01-11,17:20:33,17:25:03,9847.0,2188000.0,"4,500",134.5,132.1,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3346793,2023-01-11,2023-01-11,17:33:33,17:56:02,76497.0,3402000.0,"22,483",136.4,134.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3347327,2023-01-12,2023-01-12,07:40:28,08:21:01,171212.0,4222000.0,"40,550",159.7,153.8,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3349208,2023-01-12,2023-01-12,17:40:31,17:58:00,62793.0,3592000.0,"17,483",139.2,135.7,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3350881,2023-01-16,2023-01-16,07:32:28,07:46:00,42578.0,3146000.0,"13,533",159.6,157.2,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3351681,2023-01-16,2023-01-16,08:51:30,08:54:00,5207.0,2083000.0,"2,500",154.6,152.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3351815,2023-01-16,2023-01-16,09:13:29,09:16:04,5167.0,2000000.0,"2,583",152.5,150.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3352252,2023-01-16,2023-01-16,16:23:31,16:27:00,7857.0,2256000.0,"3,483",115.8,113.5,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3352476,2023-01-16,2023-01-16,17:06:31,17:08:00,3115.0,2100000.0,"1,483",139.8,137.7,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3352779,2023-01-16,2023-01-16,17:43:31,17:46:02,6712.0,2667000.0,"2,517",107.6,104.7,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3352369,2023-01-16,2023-01-16,16:48:32,17:16:02,112937.0,4107000.0,"27,500",115.7,112.6,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3352782,2023-01-16,2023-01-16,17:44:31,17:46:02,3640.0,2400000.0,"1,517",120.2,117.8,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3353200,2023-01-17,2023-01-17,07:17:28,07:21:00,9552.0,2703000.0,"3,533",140.0,137.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3353395,2023-01-17,2023-01-17,07:45:29,07:56:01,35822.0,3401000.0,"10,533",139.5,135.2,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3347440,2023-01-12,2023-01-12,07:53:29,07:55:04,3958.0,2500000.0,"1,583",133.3,130.8,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3351830,2023-01-16,2023-01-16,09:17:29,09:19:00,3033.0,2000000.0,"1,517",154.5,152.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3352490,2023-01-16,2023-01-16,17:08:31,17:13:00,10892.0,2429000.0,"4,483",139.4,137.2,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3352543,2023-01-16,2023-01-16,17:15:32,17:28:00,33822.0,2713000.0,"12,467",136.1,134.0,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3352703,2023-01-16,2023-01-16,17:34:32,17:36:01,5192.0,3500000.0,"1,483",115.8,112.3,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3352793,2023-01-16,2023-01-16,17:46:31,18:07:00,61043.0,2980000.0,"20,483",140.0,137.9,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3352836,2023-01-16,2023-01-16,17:51:31,17:56:02,13297.0,2944000.0,"4,517",134.9,131.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3353234,2023-01-17,2023-01-17,07:25:28,08:28:37,335763.0,5317000.0,"63,150",156.8,152.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3353410,2023-01-17,2023-01-17,07:47:29,07:50:04,6023.0,2332000.0,"2,583",159.6,157.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3354889,2023-01-17,2023-01-17,16:32:30,17:15:04,163762.0,3847000.0,"42,567",117.2,114.1,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3355447,2023-01-17,2023-01-17,17:39:29,17:41:00,3792.0,2500000.0,"1,517",139.4,136.9,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3355732,2023-01-17,2023-01-17,18:23:27,18:26:02,5597.0,2166000.0,"2,583",139.7,137.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3355781,2023-01-17,2023-01-17,18:39:26,18:42:00,5297.0,2064000.0,"2,567",140.2,138.1,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3356292,2023-01-18,2023-01-18,08:32:27,08:35:04,5757.0,2200000.0,"2,617",157.0,154.8,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3356308,2023-01-18,2023-01-18,08:35:27,08:37:00,3410.0,2200000.0,"1,550",159.7,157.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3356326,2023-01-18,2023-01-18,08:37:27,08:40:05,5267.0,2000000.0,"2,633",158.9,156.9,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3357067,2023-01-18,2023-01-18,16:52:28,16:54:00,3067.0,2000000.0,"1,533",106.1,104.1,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3357261,2023-01-18,2023-01-18,17:19:28,17:26:02,18582.0,2830000.0,"6,567",134.5,131.1,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3357300,2023-01-18,2023-01-18,17:25:28,17:38:00,40148.0,3203000.0,"12,533",115.8,113.3,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3357419,2023-01-18,2023-01-18,17:47:28,18:17:00,147662.0,5000000.0,"29,533",138.6,134.9,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3353709,2023-01-17,2023-01-17,08:14:30,08:17:01,8912.0,3541000.0,"2,517",159.7,156.2,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3355967,2023-01-18,2023-01-18,07:25:25,08:00:11,89278.0,2568000.0,"34,767",152.5,150.0,A,50,A50,ascending,Oss,Arnhem,Accident(s),E-A
3356201,2023-01-18,2023-01-18,08:15:26,08:19:00,9108.0,2554000.0,"3,567",154.7,152.2,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3356744,2023-01-18,2023-01-18,16:00:27,16:12:00,38245.0,3311000.0,"11,550",136.6,134.1,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3356988,2023-01-18,2023-01-18,16:42:28,16:46:00,8928.0,2527000.0,"3,533",116.9,114.7,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3357148,2023-01-18,2023-01-18,17:04:28,17:19:00,43328.0,2981000.0,"14,533",101.9,97.7,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3357340,2023-01-18,2023-01-18,17:32:28,17:46:02,40370.0,2976000.0,"13,567",134.6,131.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3357470,2023-01-18,2023-01-18,17:56:28,17:58:00,3833.0,2500000.0,"1,533",139.6,137.1,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3357523,2023-01-18,2023-01-18,18:09:28,18:16:02,15155.0,2308000.0,"6,567",139.3,137.2,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3359888,2023-01-19,2023-01-19,17:06:31,17:08:00,3560.0,2400000.0,"1,483",133.9,131.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3353535,2023-01-17,2023-01-17,07:59:29,08:01:01,3680.0,2400000.0,"1,533",159.6,157.2,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3354268,2023-01-17,2023-01-17,09:20:29,09:23:00,5033.0,2000000.0,"2,517",154.9,152.9,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3355496,2023-01-17,2023-01-17,17:43:28,17:46:00,7113.0,2808000.0,"2,533",134.4,131.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3357074,2023-01-18,2023-01-18,16:53:28,17:38:00,166033.0,3728000.0,"44,533",115.9,111.9,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3357475,2023-01-18,2023-01-18,17:57:27,17:59:00,3255.0,2100000.0,"1,550",133.7,131.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3357890,2023-01-19,2023-01-19,07:10:24,07:18:00,22245.0,2927000.0,"7,600",134.2,131.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3358018,2023-01-19,2023-01-19,07:28:25,07:30:04,3465.0,2100000.0,"1,650",132.5,130.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3353447,2023-01-17,2023-01-17,07:50:29,07:53:00,9770.0,3882000.0,"2,517",160.0,155.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3353996,2023-01-17,2023-01-17,08:42:31,08:47:01,11318.0,2515000.0,"4,500",159.7,157.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3355505,2023-01-17,2023-01-17,17:44:29,18:06:00,79837.0,3710000.0,"21,517",120.2,118.1,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3355592,2023-01-17,2023-01-17,17:53:29,17:56:01,7093.0,2800000.0,"2,533",120.2,117.4,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3357324,2023-01-18,2023-01-18,17:29:28,17:32:00,8182.0,3230000.0,"2,533",139.9,136.7,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3357383,2023-01-18,2023-01-18,17:40:29,17:48:00,26763.0,3561000.0,"7,517",112.3,109.1,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3358062,2023-01-19,2023-01-19,07:33:25,07:44:00,39888.0,3769000.0,"10,583",135.8,130.9,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3355348,2023-01-17,2023-01-17,17:28:28,17:36:03,26365.0,3477000.0,"7,583",118.7,115.7,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3355751,2023-01-17,2023-01-17,18:27:27,18:52:00,74070.0,3017000.0,"24,550",139.4,137.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3357087,2023-01-18,2023-01-18,16:56:28,16:58:00,3373.0,2200000.0,"1,533",101.4,99.2,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3357403,2023-01-18,2023-01-18,17:44:28,18:37:00,214040.0,4074000.0,"52,533",98.9,96.5,A,50,A50,ascending,Eindhoven,Oss,Accident(s),E-A
3357443,2023-01-18,2023-01-18,17:52:28,17:54:00,4753.0,3100000.0,"1,533",139.6,136.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3357488,2023-01-18,2023-01-18,17:59:28,18:01:02,5013.0,3200000.0,"1,567",139.5,136.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3357541,2023-01-18,2023-01-18,18:17:27,18:19:00,4960.0,3200000.0,"1,550",135.5,132.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3357542,2023-01-18,2023-01-18,18:17:27,18:24:00,15997.0,2442000.0,"6,550",140.1,137.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3358197,2023-01-19,2023-01-19,07:46:26,08:48:00,298900.0,4855000.0,"61,567",154.6,152.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3358281,2023-01-19,2023-01-19,07:54:26,07:58:01,12542.0,3500000.0,"3,583",159.5,156.0,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3358398,2023-01-19,2023-01-19,08:08:27,08:12:02,8600.0,2400000.0,"3,583",135.3,132.9,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3353639,2023-01-17,2023-01-17,08:07:29,08:09:00,3033.0,2000000.0,"1,517",152.5,150.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
