NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Cause Ground Detail,Route
3694576,2023-08-31,2023-08-31,16:25:29,16:50:04,78940.0,3211000.0,"24,583",116.2,112.9,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3694934,2023-08-31,2023-08-31,17:16:29,17:23:00,20877.0,3204000.0,"6,517",114.9,112.0,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3695121,2023-08-31,2023-08-31,17:40:29,17:42:00,4095.0,2700000.0,"1,517",105.2,102.5,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3695236,2023-08-31,2023-08-31,17:58:28,18:00:05,5497.0,3400000.0,"1,617",139.5,136.1,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3695369,2023-08-31,2023-08-31,18:33:27,18:36:02,7175.0,2777000.0,"2,583",139.0,136.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3694816,2023-08-31,2023-08-31,16:59:29,17:02:00,6353.0,2525000.0,"2,517",115.9,113.4,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3695127,2023-08-31,2023-08-31,17:41:29,17:43:00,4247.0,2800000.0,"1,517",133.6,130.8,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3694822,2023-08-31,2023-08-31,17:00:29,17:25:03,109180.0,4444000.0,"24,567",140.1,136.7,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3695243,2023-08-31,2023-08-31,18:00:29,18:06:02,14950.0,2694000.0,"5,550",134.5,131.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3695244,2023-08-31,2023-08-31,18:00:29,18:02:00,3488.0,2300000.0,"1,517",152.5,150.2,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3695381,2023-08-31,2023-08-31,18:37:27,18:39:00,3720.0,2400000.0,"1,550",133.7,131.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3695383,2023-08-31,2023-08-31,18:39:27,18:46:02,17450.0,2651000.0,"6,583",135.8,133.0,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3694597,2023-08-31,2023-08-31,16:28:29,16:30:05,4320.0,2700000.0,"1,600",144.9,142.2,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3695142,2023-08-31,2023-08-31,17:44:29,17:59:00,39435.0,2717000.0,"14,517",103.8,101.3,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
