,NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Cause Ground Detail,Month,route
7028,3248740,2022-10-31,2022-10-31,16:54:28,16:56:00,3067.0,2000000.0,"1,533",110.9,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7029,3248778,2022-10-31,2022-10-31,16:58:28,17:03:00,11902.0,2625000.0,"4,533",110.9,113.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7030,3248842,2022-10-31,2022-10-31,17:07:28,17:36:01,128238.0,4492000.0,"28,550",110.9,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7031,3249007,2022-10-31,2022-10-31,17:28:28,17:31:01,5100.0,2000000.0,"2,550",110.9,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7032,3237987,2022-10-24,2022-10-24,10:34:26,10:44:00,22347.0,2336000.0,"9,567",139.1,141.3,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,traffic jam outside rush hour (no cause reported),11,E-D
7033,3236335,2022-10-21,2022-10-21,16:55:28,16:57:00,7207.0,4700000.0,"1,533",108.5,113.2,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7034,3237991,2022-10-24,2022-10-24,10:44:26,10:47:00,5590.0,2178000.0,"2,567",140.1,142.2,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,traffic jam outside rush hour (no cause reported),11,E-D
7035,3238099,2022-10-24,2022-10-24,13:39:26,17:40:02,1501055.0,6239000.0,"240,600",113.3,117.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,,11,E-D
7036,3238752,2022-10-24,2022-10-24,17:24:28,17:27:01,5355.0,2100000.0,"2,550",118.5,120.6,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7037,3236336,2022-10-21,2022-10-21,16:55:28,16:57:00,3067.0,2000000.0,"1,533",121.7,123.7,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),11,E-D
7038,3238585,2022-10-24,2022-10-24,16:55:28,16:58:00,6625.0,2615000.0,"2,533",118.4,120.4,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7039,3236434,2022-10-21,2022-10-21,17:06:28,17:09:00,11253.0,4442000.0,"2,533",117.6,121.6,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7040,3239265,2022-10-25,2022-10-25,07:45:25,07:47:01,4480.0,2800000.0,"1,600",110.8,113.6,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7041,3235537,2022-10-21,2022-10-21,15:17:27,15:20:02,5773.0,2235000.0,"2,583",110.9,113.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7042,3236845,2022-10-21,2022-10-21,18:28:27,18:53:00,77743.0,3167000.0,"24,550",110.9,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7043,3238599,2022-10-24,2022-10-24,16:58:28,17:00:02,4857.0,3100000.0,"1,567",117.2,120.3,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7044,3235543,2022-10-21,2022-10-21,15:18:28,15:51:01,146427.0,4499000.0,"32,550",110.8,114.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7045,3236854,2022-10-21,2022-10-21,18:32:27,18:47:01,41002.0,2815000.0,"14,567",111.4,114.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7046,3238526,2022-10-24,2022-10-24,16:43:28,16:45:01,3410.0,2200000.0,"1,550",118.7,120.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7047,3236459,2022-10-21,2022-10-21,17:09:28,17:11:00,6133.0,4000000.0,"1,533",118.6,122.6,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7048,3238786,2022-10-24,2022-10-24,17:29:28,17:33:00,8500.0,2406000.0,"3,533",119.2,121.9,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),11,E-D
7049,3241696,2022-10-26,2022-10-26,16:16:28,16:19:00,5152.0,2034000.0,"2,533",111.2,113.2,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7050,3241817,2022-10-26,2022-10-26,16:36:28,16:39:01,5855.0,2296000.0,"2,550",110.8,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7051,3241818,2022-10-26,2022-10-26,16:36:28,16:57:01,68575.0,3337000.0,"20,550",110.9,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7052,3238612,2022-10-24,2022-10-24,17:00:28,17:04:00,8792.0,2488000.0,"3,533",117.1,120.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7053,3241762,2022-10-26,2022-10-26,16:26:28,16:31:01,9722.0,2137000.0,"4,550",110.9,113.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7054,3242171,2022-10-26,2022-10-26,17:22:28,17:24:02,3290.0,2100000.0,"1,567",114.9,117.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7055,3242419,2022-10-26,2022-10-26,18:01:28,18:14:00,28967.0,2311000.0,"12,533",110.9,113.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7056,3236886,2022-10-21,2022-10-21,18:45:27,18:50:02,12695.0,2770000.0,"4,583",110.8,113.2,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7057,3241800,2022-10-26,2022-10-26,16:32:28,16:36:01,7897.0,2224000.0,"3,550",110.9,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7058,3241894,2022-10-26,2022-10-26,16:46:29,16:48:00,3640.0,2400000.0,"1,517",110.5,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7059,3242207,2022-10-26,2022-10-26,17:27:28,17:32:01,9380.0,2062000.0,"4,550",110.9,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7060,3242261,2022-10-26,2022-10-26,17:35:28,17:37:00,3067.0,2000000.0,"1,533",110.9,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7061,3235668,2022-10-21,2022-10-21,15:39:28,16:53:01,373722.0,5081000.0,"73,550",116.9,119.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,,11,E-D
7062,3236083,2022-10-21,2022-10-21,16:30:28,16:52:02,144527.0,6701000.0,"21,567",110.1,113.4,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7063,3236084,2022-10-21,2022-10-21,16:30:28,16:36:02,13377.0,2403000.0,"5,567",117.5,119.8,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7064,3236894,2022-10-21,2022-10-21,18:50:27,18:59:00,27543.0,3221000.0,"8,550",110.7,114.3,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7065,3236898,2022-10-21,2022-10-21,18:53:27,18:55:02,6017.0,3800000.0,"1,583",110.9,114.7,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7066,3238479,2022-10-24,2022-10-24,16:33:28,16:38:00,10782.0,2378000.0,"4,533",118.7,121.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7067,3241935,2022-10-26,2022-10-26,16:51:28,16:56:02,15113.0,3309000.0,"4,567",110.7,114.3,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7068,3242145,2022-10-26,2022-10-26,17:19:28,17:28:00,25498.0,2988000.0,"8,533",110.9,115.4,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7069,3242214,2022-10-26,2022-10-26,17:28:28,17:30:02,5327.0,3400000.0,"1,567",110.7,114.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7070,3236092,2022-10-21,2022-10-21,16:31:28,16:33:00,4140.0,2700000.0,"1,533",110.9,113.6,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
7071,3236901,2022-10-21,2022-10-21,18:56:26,18:59:01,5167.0,2000000.0,"2,583",110.9,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,rush hour traffic jam (no cause reported),11,E-D
