NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Cause Ground Detail,Month,route
2977640,2022-04-06,2022-04-06,17:18:28,18:02:00,319357.0,7336000.0,"43,533",113.6,109.1,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2977641,2022-04-06,2022-04-06,17:18:28,17:48:02,136047.0,4601000.0,"29,567",140.1,136.6,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2977685,2022-04-06,2022-04-06,17:25:29,17:31:01,20225.0,3655000.0,"5,533",118.7,116.6,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2977773,2022-04-06,2022-04-06,17:39:29,18:04:01,92567.0,3773000.0,"24,533",139.8,137.0,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2973861,2022-04-04,2022-04-04,16:44:32,16:51:01,24135.0,3723000.0,"6,483",113.6,109.8,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2974771,2022-04-05,2022-04-05,07:56:31,09:24:00,525217.0,6004000.0,"87,483",159.6,156.2,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2974944,2022-04-05,2022-04-05,08:16:31,08:18:00,3115.0,2100000.0,"1,483",159.7,157.6,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2974945,2022-04-05,2022-04-05,08:16:31,08:18:00,2967.0,2000000.0,"1,483",139.6,137.6,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2975130,2022-04-05,2022-04-05,08:37:32,08:43:01,13742.0,2506000.0,"5,483",152.5,150.1,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2975451,2022-04-05,2022-04-05,09:28:31,09:33:00,13412.0,2991000.0,"4,483",148.3,144.3,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2976178,2022-04-05,2022-04-05,17:15:32,17:19:00,8550.0,2466000.0,"3,467",134.3,131.6,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2977946,2022-04-06,2022-04-06,18:19:28,18:36:00,71417.0,4320000.0,"16,533",139.9,136.3,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2972970,2022-04-04,2022-04-04,08:10:30,08:15:02,13507.0,2979000.0,"4,533",159.6,157.0,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2973869,2022-04-04,2022-04-04,16:45:32,16:48:00,5102.0,2068000.0,"2,467",135.4,133.3,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2974780,2022-04-05,2022-04-05,07:57:31,08:00:03,5927.0,2339000.0,"2,533",133.5,131.1,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2975214,2022-04-05,2022-04-05,08:47:32,08:52:00,9467.0,2119000.0,"4,467",159.7,157.7,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2975893,2022-04-05,2022-04-05,16:33:32,17:18:01,147170.0,3308000.0,"44,483",113.8,111.8,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2977912,2022-04-06,2022-04-06,18:07:28,18:19:00,32270.0,2798000.0,"11,533",136.6,134.2,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2978179,2022-04-07,2022-04-07,07:39:27,07:54:00,34937.0,2401000.0,"14,550",136.3,134.1,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2974067,2022-04-04,2022-04-04,17:19:33,17:30:02,40348.0,3849000.0,"10,483",114.4,112.2,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2975272,2022-04-05,2022-04-05,08:53:32,08:56:02,5923.0,2369000.0,"2,500",138.2,135.9,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2975273,2022-04-05,2022-04-05,08:53:32,08:56:02,6500.0,2600000.0,"2,500",152.5,150.0,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2975804,2022-04-05,2022-04-05,16:18:32,16:20:01,3412.0,2300000.0,"1,483",133.9,131.6,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2976195,2022-04-05,2022-04-05,17:18:33,17:22:00,8045.0,2332000.0,"3,450",117.4,115.3,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2976590,2022-04-05,2022-04-05,18:09:33,18:11:00,5075.0,3500000.0,"1,450",140.4,136.9,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2973781,2022-04-04,2022-04-04,16:30:32,16:33:01,5057.0,2036000.0,"2,483",118.7,116.7,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2974791,2022-04-05,2022-04-05,07:58:30,08:00:03,3410.0,2200000.0,"1,550",139.6,137.4,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2976474,2022-04-05,2022-04-05,17:47:32,17:49:01,4005.0,2700000.0,"1,483",120.1,117.4,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2976518,2022-04-05,2022-04-05,17:53:32,18:01:01,17968.0,2401000.0,"7,483",116.4,114.2,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2976554,2022-04-05,2022-04-05,18:01:32,18:09:00,17402.0,2331000.0,"7,467",114.3,112.2,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2975814,2022-04-05,2022-04-05,16:20:31,16:22:00,3115.0,2100000.0,"1,483",133.4,131.3,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
